"indicator_date","indicator_name","indicator_amt","created_at","updated_at"
"2025-09-09 00:00:00","META-SELIC","15.00","2025-08-12 00:00:00","2025-08-12 00:00:00"
"2025-09-09 00:00:00","CDI-DAILY","0.06","2025-09-11 00:00:00","2025-09-11 00:00:00"
"2025-09-09 00:00:00","CDI","14.90","2025-09-11 00:00:00","2025-09-11 00:00:00"
"2025-09-08 00:00:00","SELIC","14.90","2025-09-09 00:00:00","2025-09-09 00:00:00"
"2025-09-08 00:00:00","POUPANCA","0.68","2025-09-10 00:00:00","2025-09-10 00:00:00"
"2025-09-08 00:00:00","META-SELIC","15.00","2025-08-12 00:00:00","2025-08-12 00:00:00"
"2025-09-08 00:00:00","CDI-DAILY","0.06","2025-09-10 00:00:00","2025-09-10 00:00:00"
"2025-09-08 00:00:00","CDI","14.90","2025-09-10 00:00:00","2025-09-10 00:00:00"
"2025-09-07 00:00:00","POUPANCA","0.67","2025-09-10 00:00:00","2025-09-10 00:00:00"
"2025-09-07 00:00:00","META-SELIC","15.00","2025-08-12 00:00:00","2025-08-12 00:00:00"
"2025-09-06 00:00:00","POUPANCA","0.67","2025-09-10 00:00:00","2025-09-10 00:00:00"
"2025-09-06 00:00:00","META-SELIC","15.00","2025-08-12 00:00:00","2025-08-12 00:00:00"
"2025-09-05 00:00:00","SELIC","14.90","2025-09-06 00:00:00","2025-09-06 00:00:00"
"2025-09-05 00:00:00","POUPANCA","0.67","2025-09-10 00:00:00","2025-09-10 00:00:00"
"2025-09-05 00:00:00","META-SELIC","15.00","2025-08-12 00:00:00","2025-08-12 00:00:00"
"2025-09-05 00:00:00","CDI-DAILY","0.06","2025-09-09 00:00:00","2025-09-09 00:00:00"
"2025-09-05 00:00:00","CDI","14.90","2025-09-09 00:00:00","2025-09-09 00:00:00"
"2025-09-04 00:00:00","SELIC","14.90","2025-09-05 00:00:00","2025-09-05 00:00:00"
"2025-09-04 00:00:00","POUPANCA","0.68","2025-09-06 00:00:00","2025-09-06 00:00:00"
"2025-09-04 00:00:00","META-SELIC","15.00","2025-08-12 00:00:00","2025-08-12 00:00:00"
"2025-09-04 00:00:00","CDI-DAILY","0.06","2025-09-06 00:00:00","2025-09-06 00:00:00"
"2025-09-04 00:00:00","CDI","14.90","2025-09-06 00:00:00","2025-09-06 00:00:00"
"2025-09-03 00:00:00","SELIC","14.90","2025-09-04 00:00:00","2025-09-04 00:00:00"
"2025-09-03 00:00:00","POUPANCA","0.68","2025-09-05 00:00:00","2025-09-05 00:00:00"
"2025-09-03 00:00:00","META-SELIC","15.00","2025-08-12 00:00:00","2025-08-12 00:00:00"
