"ticker","news_source","news_title","news_date","news_tags","news_description","news_url","news_image_url","created_at","updated_at"
"HGCR11","Suno Notícias","Cotistas do HGCR11 receberão R$ 0,95 em rendimentos","2024-11-02 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII HGCR11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do HGCR11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-hgcr11-outubro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/07/22e3bff6-architecture-768432_1920.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"TGAR11","Suno Notícias","Cotistas do TGAR11 receberão R$ 1,15 em rendimentos","2024-11-02 00:00:00","TGAR11, Fundos Imobiliários (FIIs), TGAR11","O FII TGAR11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do TGAR11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-tgar11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/05/8651c14c-city-863692_1280.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"HGRE11","Suno Notícias","FII HGRE11 pagará R$ 0,78 por cota em novembro","2024-11-02 00:00:00","HGRE11, Fundos Imobiliários (FIIs), HGRE11","O FII HGRE11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do HGRE11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-hgre11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/04/5bf3085f-buildings-4640671_1280.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"HGLG11","Suno Notícias","FII HGLG11 anuncia rendimentos de R$ 1,10 em novembro","2024-11-02 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs), HGLG11","O FII HGLG11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do HGLG11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-hglg11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/07/c22ab583-architecture-22039_1920.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"HGRU11","Suno Notícias","HGRU11 pagará R$ 0,90 por cota em novembro","2024-11-02 00:00:00","HGRU11, Fundos Imobiliários (FIIs), HGRU11","O FII HGRU11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do HGRU11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-hgru11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2023/02/5-scaled.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"HSML11","Suno Notícias","Cotistas do FII HSML11 receberão R$ 0,80 por cota em novembro","2024-11-02 00:00:00","HSML11, Fundos Imobiliários (FIIs), HSML11","O FII HSML11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do HSML11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-hsml11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/07/22e3bff6-architecture-768432_1920.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"BRCO11","Suno Notícias","Investidores do FII BRCO11 terão direito a R$ 0,87 em rendimentos","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII BRCO11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do BRCO11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-brco11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/07/22e3bff6-architecture-768432_1920.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"GARE11","Suno Notícias","FII GARE11 anuncia pagamento de R$ 0,09 por cota; veja os detalhes","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII GARE11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do GARE11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-gare11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/04/77623bd0-buildings-690868_1280.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"HGBS11","Suno Notícias","Cotistas do FII HGBS11 receberão R$ 1,60 por cota em novembro","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII HGBS11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do HGBS11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-hgbs11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2023/03/shutterstock_2172822511-scaled.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"XPLG11","Suno Notícias","Fundo imobiliário XPLG11 anuncia proventos de R$ 0,78 aos cotistas","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs), XPLG11","O FII XPLG11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do XPLG11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-xplg11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/07/22e3bff6-architecture-768432_1920.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
